ref;design;stock;unit_price;suppliers
41428;Kraft Mayo with Olive Oil;0.000;24;Robot Dist
41430;Pam Cooking Spray Extra Virgin Olive oil;4.000;4;Riyjin Ind
41431;Best Choice Olive Oil Pan Coat;4.000;21;ACME Corp
41432;Rouses Canola Oil;0.000;6;Riyjin Ind
41433;Rouses Extra Virgin Olive Oil;160.000;5;Riyjin Ind
41434;Rouses Extra Virgin Organic Sicilian Olive Oil;53.000;11;Riyjin Ind
41461;Mrs. Dash Seasoning Packet;106.000;8;Robot Dist
41661;Blue Runner No Salt Added Navy Beans Cream Style;0.000;18;ACME Corp
41901;Magic Seasoning, Salt Free, Sugar Free;8.000;9;Robot Dist
41970;Cauli-flour Baking Mix;24.000;18;ACME Corp
41971;Paul Prudhomme  Six Spice Salt Free Sugar Free;0.000;6;Riyjin Ind
41972;Skinny Noodles;0.000;21;Riyjin Ind
41973;Banza Chickpea Pasta;0.000;3;ACME Corp
41974;Tony’s Cachere’s No Salt Seasoning;0.000;3;Riyjin Ind
4133C;Blue Runner No Salt Added Red Beans;0.000;6;ACME Corp
4158A;Natures Path Organic Oatmeal;0.000;9;Riyjin Ind
4158B;Hi Happy Inside Granola;6.000;15;Robot Dist
4169C;Dry Beans – any variety with no added salt;0.000;9;ACME Corp
4172C;Calbee Snap Pea Crisps Organic;0.000;10;ACME Corp
4175A;Pepperidge Farm 15 Grain Bread;4.000;4;Riyjin Ind
4175B;Swerve Chocolate Cake Mix;5.000;14;Riyjin Ind
4181A;Justin’s Nut Butter Almond;2.000;1;Robot Dist
4181B;Crazy Richard Peanut Butter;12.000;16;ACME Corp
4181C;Thomas Wheat Bagel Thins;3.000;22;Riyjin Ind
4181D;Thomas Multigrain English Muffins;0.000;4;Riyjin Ind
4181E;Food For Life Ezekiel 4:9 Cereal Golden Flax;0.000;19;Robot Dist
4194A;Bear Naked Fit Granola Vanilla Almond;4.000;21;ACME Corp
4194B;Kashi Honey Granola;4.000;20;Robot Dist
4194D;Maple Grove Farms Pancake & Waffle Mix, Sugar Free;4.000;4;Robot Dist
4194E;Birch Benders Pancake & Waffle Mix Paleo;2.000;10;ACME Corp
4199A;Campbell’s Healthy Request Vegetable Beef Soup;0.000;2;ACME Corp
4199B;Shredded Wheat Cereal, Original;0.000;14;Riyjin Ind
